Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
c28qvs9,"POLYGON((-123.155364990234 49.0237426757812, -123.153991699219 49.0237426757812, -123.153991699219 49.0251159667969, -123.155364990234 49.0251159667969, -123.155364990234 49.0237426757812))",49.024,-123.155,49.025,-123.154,POINT(-123.15458 49.02429),49.024,-123.155,,,,,,0.009,3,2020-10-02,5.1
d9uhxu6,"POLYGON((-61.5316772460938 10.6581115722656, -61.5303039550781 10.6581115722656, -61.5303039550781 10.6594848632812, -61.5316772460938 10.6594848632812, -61.5316772460938 10.6581115722656))",10.658,-61.532,10.659,-61.53,POINT(-61.53142 10.65856),10.659,-61.531,,,,,,0.058,7,2020-10-02,5.1
6px5wjb,"POLYGON((-79.892578125 -2.16567993164062, -79.8912048339844 -2.16567993164062, -79.8912048339844 -2.164306640625, -79.892578125 -2.164306640625, -79.892578125 -2.16567993164062))",-2.166,-79.893,-2.164,-79.891,POINT(-79.89216 -2.16474),-2.165,-79.892,,,,,,0.006,3,2020-10-02,5.1
c28qvsf,"POLYGON((-123.153991699219 49.0251159667969, -123.152618408203 49.0251159667969, -123.152618408203 49.0264892578125, -123.153991699219 49.0264892578125, -123.153991699219 49.0251159667969))",49.025,-123.154,49.026,-123.153,POINT(-123.15385 49.02591),49.026,-123.154,,,,,,0.025,4,2020-10-02,5.1
6px5y0k,"POLYGON((-79.8870849609375 -2.15194702148438, -79.8857116699219 -2.15194702148438, -79.8857116699219 -2.15057373046875, -79.8870849609375 -2.15057373046875, -79.8870849609375 -2.15194702148438))",-2.152,-79.887,-2.151,-79.886,POINT(-79.88607 -2.15113),-2.151,-79.886,,,,,,0.046,3,2020-10-02,5.1
6px5wp5,"POLYGON((-79.8884582519531 -2.1588134765625, -79.8870849609375 -2.1588134765625, -79.8870849609375 -2.15744018554688, -79.8884582519531 -2.15744018554688, -79.8884582519531 -2.1588134765625))",-2.159,-79.888,-2.157,-79.887,POINT(-79.88834 -2.15825),-2.158,-79.888,,,,,,0.035,3,2020-10-02,5.1
d9u63ny,"POLYGON((-61.4712524414062 10.2763366699219, -61.4698791503906 10.2763366699219, -61.4698791503906 10.2777099609375, -61.4712524414062 10.2777099609375, -61.4712524414062 10.2763366699219))",10.276,-61.471,10.278,-61.47,POINT(-61.47109 10.27701),10.277,-61.471,,,,,,0.057,6,2020-10-02,5.1
c28qvsk,"POLYGON((-123.151245117188 49.0223693847656, -123.149871826172 49.0223693847656, -123.149871826172 49.0237426757812, -123.151245117188 49.0237426757812, -123.151245117188 49.0223693847656))",49.022,-123.151,49.024,-123.15,POINT(-123.15056 49.02287),49.023,-123.151,,,,,,0.018,3,2020-10-02,5.1
6px5wru,"POLYGON((-79.8760986328125 -2.15469360351562, -79.8747253417969 -2.15469360351562, -79.8747253417969 -2.1533203125, -79.8760986328125 -2.1533203125, -79.8760986328125 -2.15469360351562))",-2.155,-79.876,-2.153,-79.875,POINT(-79.87565 -2.1542),-2.154,-79.876,,,,,,0.006,3,2020-10-02,5.1
c28qvs5,"POLYGON((-123.152618408203 49.02099609375, -123.151245117188 49.02099609375, -123.151245117188 49.0223693847656, -123.152618408203 49.0223693847656, -123.152618408203 49.02099609375))",49.021,-123.153,49.022,-123.151,POINT(-123.15178 49.02176),49.022,-123.152,,,,,,0.238,3,2020-10-02,5.1
qshdbh9,"POLYGON((118.829498291016 -21.9918823242188, 118.830871582031 -21.9918823242188, 118.830871582031 -21.9905090332031, 118.829498291016 -21.9905090332031, 118.829498291016 -21.9918823242188))",-21.992,118.83,-21.991,118.831,POINT(118.83049 -21.99145),-21.991,118.83,,,,Australia,AU,2.803,14,2020-10-02,5.1
r1fd41h,"POLYGON((138.609008789062 -34.7991943359375, 138.610382080078 -34.7991943359375, 138.610382080078 -34.7978210449219, 138.609008789062 -34.7978210449219, 138.609008789062 -34.7991943359375))",-34.799,138.609,-34.798,138.61,POINT(138.6093 -34.7982),-34.798,138.609,,,,Australia,AU,0.009,3,2020-10-02,5.1
r1fd1ft,"POLYGON((138.599395751953 -34.7909545898438, 138.600769042969 -34.7909545898438, 138.600769042969 -34.7895812988281, 138.599395751953 -34.7895812988281, 138.599395751953 -34.7909545898438))",-34.791,138.599,-34.79,138.601,POINT(138.60015 -34.79013),-34.79,138.6,,,,Australia,AU,0.026,3,2020-10-02,5.1
qeusc2n,"POLYGON((118.891296386719 -23.0712890625, 118.892669677734 -23.0712890625, 118.892669677734 -23.0699157714844, 118.891296386719 -23.0699157714844, 118.891296386719 -23.0712890625))",-23.071,118.891,-23.07,118.893,POINT(118.89162 -23.07035),-23.07,118.892,,,,Australia,AU,0.604,12,2020-10-02,5.1
r1r12q7,"POLYGON((144.858856201172 -37.7146911621094, 144.860229492188 -37.7146911621094, 144.860229492188 -37.7133178710937, 144.858856201172 -37.7133178710938, 144.858856201172 -37.7146911621094))",-37.715,144.859,-37.713,144.86,POINT(144.8593 -37.71404),-37.714,144.859,,,,Australia,AU,0.215,6,2020-10-02,5.1
r1fd1z9,"POLYGON((138.593902587891 -34.7634887695312, 138.595275878906 -34.7634887695312, 138.595275878906 -34.7621154785156, 138.593902587891 -34.7621154785156, 138.593902587891 -34.7634887695312))",-34.763,138.594,-34.762,138.595,POINT(138.59447 -34.76256),-34.763,138.594,,,,Australia,AU,0.049,3,2020-10-02,5.1
c2b2rh9,"POLYGON((-123.089447021484 49.2874145507812, -123.088073730469 49.2874145507812, -123.088073730469 49.2887878417969, -123.089447021484 49.2887878417969, -123.089447021484 49.2874145507812))",49.287,-123.089,49.289,-123.088,POINT(-123.08859 49.28777),49.288,-123.089,,,,Canada,CA,0.345,5,2020-10-02,5.1
c2b2rh3,"POLYGON((-123.089447021484 49.2860412597656, -123.088073730469 49.2860412597656, -123.088073730469 49.2874145507812, -123.089447021484 49.2874145507812, -123.089447021484 49.2860412597656))",49.286,-123.089,49.287,-123.088,POINT(-123.08874 49.28652),49.287,-123.089,,,,Canada,CA,0.068,8,2020-10-02,5.1
f8hetzs,"POLYGON((-60.9136962890625 45.6564331054688, -60.9123229980469 45.6564331054688, -60.9123229980469 45.6578063964844, -60.9136962890625 45.6578063964844, -60.9136962890625 45.6564331054688))",45.656,-60.914,45.658,-60.912,POINT(-60.91318 45.65706),45.657,-60.913,,,,Canada,CA,0.467,19,2020-10-02,5.1
63kn9mm,"POLYGON((-73.0632019042969 -36.7973327636719, -73.0618286132813 -36.7973327636719, -73.0618286132813 -36.7959594726563, -73.0632019042969 -36.7959594726563, -73.0632019042969 -36.7973327636719))",-36.797,-73.063,-36.796,-73.062,POINT(-73.06265 -36.79706),-36.797,-73.063,,,,Chile,CL,0.034,3,2020-10-02,5.1
62shh66,"POLYGON((-72.9354858398438 -41.4720153808594, -72.9341125488281 -41.4720153808594, -72.9341125488281 -41.4706420898438, -72.9354858398438 -41.4706420898438, -72.9354858398438 -41.4720153808594))",-41.472,-72.935,-41.471,-72.934,POINT(-72.93503 -41.47144),-41.471,-72.935,,,,Chile,CL,0.063,4,2020-10-02,5.1
